name,brand,barcode,category,image_url,ingredients
Winter,Sephora,3378872113560,,https://images.openbeautyfacts.org/images/products/337/887/211/3560/front_fr.4.400.jpg,
SUPERMASK - The Mud Mask,Sephora,3378872116165,,,"Aqua, Bentonite, Kaolin, Propanediol, Cetyl Alcohol, Dimethicone, Glycerin, Benzyl Glycol, Panthenol, lilite, Glyceryl Stearate, PEG-100 Stearate, 1,2 Hexanediol, Polyacrylamide, Phenoxyethanol, Dipotassium Glycyrrhizate, Montmorillonite, Ethylhexylglycerin, Allantoin, C13-14 Isoparaffin, Saccharide Isomerate, CI 77288 (Chromium Oxide Greens), XanthanGum, Parfum (Fragrance), Citric Acid, Disodium EDTA, Laureth-7, Rasberry Ketone, Sodium Citrate, Tocopherol"
Patchs Anti-Imperfections,Sephora,3378872116189,,,"Acrylates Copolymer, Glycine Soja (Soybean) Oil, Vitis Vinifera (Grape) Seed Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Salicylic Acid, Lavandula Angustifolia (Lavender) Oil, Ascorbyl Palmitate, Linalool, Limonene, Geraniol."
Poudre de soleil irisee,Sephora,3378872116479,,https://images.openbeautyfacts.org/images/products/337/887/211/6479/front_fr.3.400.jpg,
Colorful mat,Sephora,3378872116790,Visage,,
Crème fouettée corps hydratante,Sephora,3378872116974,"Corps, Crèmes pour le corps",https://images.openbeautyfacts.org/images/products/337/887/211/6974/front_fr.3.400.jpg,"Aqua (Water) Caprylic/Capric Triglyceride Glycenin orheur Isopropyl Palmitate Butyrospermum Parkii (Shea Butter) Glyceryl Stearale PEG-100 Stearate Phenoxyethanol Sodium Polyacrylate Parfum (Fragrance) Cetearyl Alcohol Sodium Polyacrylate Starch Caprylyl Glycol 1,2-Hexanediol Xanthan Gum (Watermelon) Fruit Extract. . . Citrullus Lanatus i all ,/0avenue des champs-élysées F-75008 paris, st. by sephora usa s a francisco CA 94105. uier made in France. ight Wsephora.com 12M 34378872 116974"
Masque visage thé vert,Sephora,3378872117049,"Visage, Masques visage",https://images.openbeautyfacts.org/images/products/337/887/211/7049/front_fr.3.400.jpg,
Gommage corps pastèque,Sephora,3378872118664,,https://images.openbeautyfacts.org/images/products/337/887/211/8664/front_fr.3.400.jpg,
Masque mains avocat,SEPHORA,3378872125419,,https://images.openbeautyfacts.org/images/products/337/887/212/5419/front_fr.3.400.jpg,
,Sephora,3378872127871,en:Masque pour la peau,https://images.openbeautyfacts.org/images/products/337/887/212/7871/front_en.5.400.jpg,
Ama,Sephora,3378872129318,"Gel nettoyant visage, tonifiant",,
Masque,Sephora,3378872134824,Visage,,
White Clay Mattifying Cleanser,SEPHORA,3378872135012,,https://images.openbeautyfacts.org/images/products/337/887/213/5012/front_fr.3.400.jpg,
Voile hydratant fraîcheur corps,Sephora,3378872141587,"Non-food-products,Open-beauty-facts,fr:Soin",https://images.openbeautyfacts.org/images/products/337/887/214/1587/front_fr.6.400.jpg,
Masques mains mangue,Sephora,3378872141884,Mains,,
Masques mains concombre,Sephora,3378872141891,Mains,,
Masques pieds coco,Sephora,3378872141907,Pieds,,
Masques pieds cactus,Sephora,3378872141914,fr:pieds,,
Masques mains mangue,Sephora,3378872141938,,https://images.openbeautyfacts.org/images/products/337/887/214/1938/front_fr.3.400.jpg,
Sérum visage nuit chanvre,Sephora,3378872141969,Soin,,
Masque cheveux nuit coco,Sephora,3378872142478,Cheveux,,
Gentle pH Balancing Toner,SEPHORA,3378872143468,,https://images.openbeautyfacts.org/images/products/337/887/214/3468/front_fr.3.400.jpg,
watermelon hand balm,sephora,3378872152385,"Non-food-products,Open-beauty-facts",https://images.openbeautyfacts.org/images/products/337/887/215/2385/front_fr.12.400.jpg,"Aqua (Water) • Glycerin • Isononyl Isononanoate (Butyrospermum Parkii (Shea Butter) • Hydrogenated Çoconuethyl Acrylate/Sodium Acryloyldimethyl Taurate: Copolymer • Beta-Sitosterol • Cetyl Alcohol • Allantoin Hýdroxyacetophenone Potassium Cetyl Phosphate Parfum (Fragrance). Methyl Methaćrylate 'Crosspolymer Acetáte Isostearate • Citrullus Lanatus (Watermelon) Fruit Extract • Citric Acid Sodium Hydroxide • Potássium Sorbate • Sodium Benzoate • Cl 16035 (Red 40) . CI 42090 (Blue 1). St, 70 avenue des champs-élysées 75008 paris France, dist. by sephora usa san francisco CA 94105. made in France. Butyrospermum Parkii Butter Oil • Paraffin • Oryza Sativa (Rice) Starch. Phenoxyethanol. Tocopheryl Xanthan Gum • Polysorbate 60 • Sorbitan 00 3. 12M www.sephora.com"
masque nuit lèvres,SEPHORA,3378872154129,,https://images.openbeautyfacts.org/images/products/337/887/215/4129/front_fr.7.400.jpg,
,Sephora,3378872158066,,,
Wild Wish,Sephora,3378872159650,,https://images.openbeautyfacts.org/images/products/337/887/215/9650/front_fr.3.400.jpg,Aqua (Water) Sodium Laureth Sulfate 0 • • Glycerin Cocamidopropyl Betaine • Lauryl Glucoside Acrylates Copolymer. Sodium Chloride Sodium Benzoate. Parfum (Fragrance) Citric Acid Styrene/Acrylates Copolymer PEG-200 Hydrogenated Glyceryl Palmate Sucrose Cocoate Coconut Acid . Guar Hydroxypropyltrimonium Chloride PEG-7 Glyceryl Cocoate Linalool Coumarin. Phenoxyethanol Polysorbate 20. Gossypium Herbaceum (Cotton) Extract Benzoic Acid Dehydroacetic Acid Potassium Sorbate CI 17200 (Red 33) CI 19140 (Yellow 5) Laureth-7. Phosphoric Acid Sodium Sulfate. ● • ● www.sephora.com
